task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
108	f9/5b9d82	268447	DEEPVARIANT_ONESAMPLE (JC-deepVariant)	COMPLETED	0	2024-06-18 14:07:26.948	1m 5s	56.7s	177.6%	1.9 GB	16 GB	771.5 MB	199.2 MB
120	59/dfb80b	268459	STRELKA_ONESAMPLE (JM-strelka)	COMPLETED	0	2024-06-18 14:07:37.182	54.9s	50s	30.7%	55.6 MB	530.3 MB	66.6 MB	2.1 MB
152	d1/1b8ab9	268590	BCFTOOLS_FILTER (AL)	COMPLETED	0	2024-06-18 14:08:27.609	4.5s	0ms	22.0%	1.6 MB	6.8 MB	160.5 KB	160 KB
123	e3/6a6489	268462	STRELKA_ONESAMPLE (LV-strelka)	COMPLETED	0	2024-06-18 14:07:46.899	54.9s	50s	35.4%	55.9 MB	530.2 MB	67.5 MB	2.1 MB
128	39/b7b78e	268468	STRELKA_ONESAMPLE (YA-strelka)	COMPLETED	0	2024-06-18 14:07:47.124	54.8s	50s	34.0%	26.9 MB	494.9 MB	63.1 MB	2.1 MB
124	08/3dc540	268461	B2C (LV-b2c)	COMPLETED	0	2024-06-18 14:07:46.861	60s	58.3s	42.5%	694.7 MB	1.1 GB	5.9 GB	10.6 MB
102	4a/854b42	268437	B2C (NS-b2c)	COMPLETED	0	2024-06-18 14:07:12.018	2m 15s	2m 9s	24.8%	707.2 MB	1.2 GB	5.9 GB	9.9 MB
93	db/544b45	268431	B2C (PP-b2c)	COMPLETED	0	2024-06-18 14:07:07.322	2m 25s	2m 13s	19.8%	1.4 GB	1.9 GB	5.9 GB	4.8 MB
96	8b/46e681	268435	B2C (RQ-b2c)	COMPLETED	0	2024-06-18 14:07:11.950	2m 20s	2m 9s	21.1%	929.1 MB	1.4 GB	5.9 GB	5.3 MB
121	3e/9898e6	268460	B2C (JM-b2c)	COMPLETED	0	2024-06-18 14:07:37.218	2m	1m 57s	24.9%	698.4 MB	1.1 GB	5.9 GB	10.3 MB
119	36/0374df	268458	DEEPVARIANT_ONESAMPLE (JM-deepVariant)	COMPLETED	0	2024-06-18 14:07:37.146	2m 5s	59.3s	167.5%	1.9 GB	14.6 GB	790.6 MB	199.1 MB
114	8d/efd30b	268452	DEEPVARIANT_ONESAMPLE (PV-deepVariant)	COMPLETED	0	2024-06-18 14:07:27.140	2m 20s	1m 2s	162.1%	1.9 GB	15.9 GB	794 MB	199.3 MB
115	7e/4850c1	268456	DEEPVARIANT_ONESAMPLE (AL-deepVariant)	COMPLETED	0	2024-06-18 14:07:31.978	2m 15s	59.7s	160.5%	1.9 GB	14.6 GB	755.7 MB	199.1 MB
125	94/6af5dc	268464	DEEPVARIANT_ONESAMPLE (LV-deepVariant)	COMPLETED	0	2024-06-18 14:07:46.971	2m	59.3s	171.4%	1.9 GB	14.6 GB	788.1 MB	199.3 MB
127	5d/ee900d	268465	DEEPVARIANT_ONESAMPLE (YA-deepVariant)	COMPLETED	0	2024-06-18 14:07:47.009	2m	1m 1s	157.2%	1.9 GB	16.9 GB	772.6 MB	199 MB
129	84/140df5	268466	B2C (YA-b2c)	COMPLETED	0	2024-06-18 14:07:47.047	2m 5s	2m 3s	24.0%	884.3 MB	1.3 GB	5.9 GB	7.7 MB
177	0f/4c099f	268615	GLNEXUS_DEEPVARIANT (DeepVariant-deepVariant)	COMPLETED	0	2024-06-18 14:09:47.032	9.8s	6s	147.1%	461.8 MB	24.6 GB	13.7 MB	1.1 MB
168	47/66a43c	268606	BCFTOOLS_FILTER (JM)	COMPLETED	0	2024-06-18 14:08:32.500	1m 34s	1s	9.5%	7 MB	260.6 MB	166.6 KB	160.7 KB
170	7c/618183	268608	BCFTOOLS_FILTER (LV)	COMPLETED	0	2024-06-18 14:08:41.921	1m 35s	0ms	33.1%	1.9 MB	49.3 MB	166.4 KB	160.9 KB
171	70/f7ac90	268609	BCFTOOLS_FILTER (YA)	COMPLETED	0	2024-06-18 14:08:41.978	1m 40s	1s	38.0%	1.8 MB	14.3 MB	167.2 KB	159.9 KB
178	c8/9449e3	268616	B2V (DeepVariant-b2v)	COMPLETED	0	2024-06-18 14:09:56.912	25s	1s	108.1%	1.8 MB	9.3 MB	153 KB	185.7 KB
131	08/992b24	268469	STRELKA_POOL (Strelka-strelkaPool)	COMPLETED	0	2024-06-18 14:07:47.166	2m 55s	2m 50s	69.8%	444.9 MB	1 GB	542.2 MB	38 MB
141	e5/972b1d	268479	ANNOVAR_SS (ML-annovar)	COMPLETED	0	2024-06-18 14:08:12.255	2m 30s	2m 24s	79.9%	462.9 MB	924.5 MB	1.7 GB	505.5 KB
183	54/fd65e8	268621	BF (Strelka)	COMPLETED	0	2024-06-18 14:10:43.741	8.1s	4s	4.1%	7.4 MB	260.6 MB	318.6 KB	256.8 KB
148	15/df58b6	268586	ANNOVAR_SS (VM-annovar)	COMPLETED	0	2024-06-18 14:08:22.084	2m 50s	2m 44s	81.1%	462.7 MB	924.4 MB	1.7 GB	701.9 KB
105	a1/fb2045	268442	B2C (KV-b2c)	COMPLETED	0	2024-06-18 14:07:21.908	4m 5s	3m 56s	15.9%	693.1 MB	1.1 GB	5.9 GB	5.5 MB
169	fa/67b2f1	268607	ANNOVAR_SS (AL-annovar)	COMPLETED	0	2024-06-18 14:08:32.552	3m 4s	2m 48s	82.2%	462.7 MB	924.4 MB	1.7 GB	677.7 KB
113	2c/1ce794	268450	B2C (PV-b2c)	COMPLETED	0	2024-06-18 14:07:27.067	4m 15s	4m 8s	16.8%	698 MB	1.1 GB	5.9 GB	10.4 MB
117	ad/49b884	268453	B2C (AL-b2c)	COMPLETED	0	2024-06-18 14:07:31.866	4m 10s	4m 8s	15.4%	690.4 MB	1.1 GB	5.9 GB	5.9 MB
179	d2/b1aa84	268617	ANNOVAR_SS (JM-annovar)	COMPLETED	0	2024-06-18 14:10:07.009	2m 25s	2m 13s	82.5%	462.9 MB	924.5 MB	1.7 GB	713.2 KB
161	f9/466660	268597	ANNOVAR_DS (VM-annovar)	COMPLETED	0	2024-06-18 14:08:32.094	4m 25s	4m 20s	45.8%	462.2 MB	924.2 MB	1.7 GB	1.2 MB
155	83/0b20ed	268593	ANNOVAR_SS (JC-annovar)	COMPLETED	0	2024-06-18 14:08:28.311	4m 39s	4m 35s	42.6%	462.3 MB	924.5 MB	1.7 GB	677.5 KB
184	ac/8aac4c	268622	ANNOVAR_SP (Strelka-annovar)	COMPLETED	0	2024-06-18 14:10:52.000	2m 20s	2m 19s	85.4%	462.8 MB	924.5 MB	1.7 GB	2.8 MB
154	82/b48d33	268592	ANNOVAR_SS (KV-annovar)	COMPLETED	0	2024-06-18 14:08:28.175	4m 49s	4m 48s	45.4%	460.9 MB	924.4 MB	1.7 GB	742 KB
176	1b/11685c	268614	ANNOVAR_DS (YA-annovar)	COMPLETED	0	2024-06-18 14:09:46.992	3m 35s	3m 32s	62.1%	462.7 MB	924.4 MB	1.7 GB	1.2 MB
153	2c/e6b4fc	268591	ANNOVAR_SS (NS-annovar)	COMPLETED	0	2024-06-18 14:08:27.931	5m 4s	5m	44.1%	460.8 MB	924.4 MB	1.7 GB	684 KB
156	48/7102ed	268594	ANNOVAR_SS (PV-annovar)	COMPLETED	0	2024-06-18 14:08:28.485	5m 3s	4m 57s	45.4%	461.7 MB	924.4 MB	1.7 GB	780.8 KB
159	01/abec29	268596	ANNOVAR_DS (ML-annovar)	COMPLETED	0	2024-06-18 14:08:32.044	5m	4m 54s	44.0%	462.4 MB	924.4 MB	1.7 GB	939.6 KB
158	09/72a3cb	268595	ANNOVAR_DS (PZ-annovar)	COMPLETED	0	2024-06-18 14:08:31.988	5m 5s	4m 59s	44.5%	462.2 MB	924.4 MB	1.7 GB	1.2 MB
157	03/ffc501	268598	ANNOVAR_DS (DC-annovar)	COMPLETED	0	2024-06-18 14:08:32.154	5m 5s	4m 58s	44.8%	462.2 MB	924.4 MB	1.7 GB	919.9 KB
182	85/a47eb5	268620	ANNOVAR_DP (DeepVariant-annovar)	COMPLETED	0	2024-06-18 14:10:22.008	3m 35s	3m 30s	66.5%	462.8 MB	924.5 MB	1.7 GB	1.4 MB
143	fc/d59bc1	268482	ANNOVAR_SS (DC-annovar)	COMPLETED	0	2024-06-18 14:08:16.977	5m 55s	5m 51s	32.0%	460.9 MB	924.4 MB	1.7 GB	375.5 KB
175	51/0eb286	268613	ANNOVAR_DS (LV-annovar)	COMPLETED	0	2024-06-18 14:09:46.956	4m 45s	4m 44s	53.6%	461.6 MB	924.4 MB	1.7 GB	1.4 MB
172	78/ab756c	268610	ANNOVAR_DS (JM-annovar)	COMPLETED	0	2024-06-18 14:09:41.887	5m	4m 54s	50.9%	462.3 MB	924.4 MB	1.7 GB	1.5 MB
174	31/6b3bb8	268612	ANNOVAR_DS (AL-annovar)	COMPLETED	0	2024-06-18 14:09:46.919	4m 55s	4m 51s	55.2%	462.3 MB	924.5 MB	1.7 GB	1.2 MB
173	75/45b564	268611	ANNOVAR_DS (PV-annovar)	COMPLETED	0	2024-06-18 14:09:46.880	5m	4m 56s	50.6%	462.4 MB	924.4 MB	1.7 GB	1.4 MB
180	45/a42b77	268618	ANNOVAR_SS (LV-annovar)	COMPLETED	0	2024-06-18 14:10:16.888	4m 45s	4m 42s	54.5%	461.1 MB	924.4 MB	1.7 GB	750.7 KB
181	de/22ea85	268619	ANNOVAR_SS (YA-annovar)	COMPLETED	0	2024-06-18 14:10:21.964	4m 40s	4m 39s	55.9%	461.3 MB	924.5 MB	1.7 GB	659 KB
144	07/7275af	268483	ANNOVAR_SS (PZ-annovar)	COMPLETED	0	2024-06-18 14:08:17.006	7m 15s	7m 8s	27.0%	460.6 MB	924.5 MB	1.7 GB	639.8 KB
