Sample	QualiMap_mqc_generalstats_qualimap_avg_gc	QualiMap_mqc_generalstats_qualimap_median_insert_size	QualiMap_mqc_generalstats_qualimap_mqc_1_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_5_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_10_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_30_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_50_x_pc	QualiMap_mqc_generalstats_qualimap_median_coverage	QualiMap_mqc_generalstats_qualimap_mean_coverage	QualiMap_mqc_generalstats_qualimap_general_error_rate	QualiMap_mqc_generalstats_qualimap_percentage_aligned	QualiMap_mqc_generalstats_qualimap_mapped_reads	QualiMap_mqc_generalstats_qualimap_total_reads	Samtools: flagstat_mqc_generalstats_samtools_flagstat_flagstat_total_1	Samtools: flagstat_mqc_generalstats_samtools_flagstat_mapped_passed_1	Samtools: flagstat_mqc_generalstats_samtools_flagstat_mapped_passed_pct_1	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
JM														0.5739369999999999	0.568777	99.1						
JM.qualimap	38.050009673050894	103	100.0	100.0	100.0	100.0	100.0	2030														
JM.sort									2257.0016	0.49	99.10094661957672	0.568777	0.5739369999999999									
JM_S12.R1																	86.57649673643934	38.0	107.29227506752194	107	18.181818181818183	0.284352
JM_S12.R2																	75.48707236101733	38.0	112.56776108485258	112	18.181818181818183	0.284352
KV														0.35057099999999997	0.34809199999999996	99.29						
KV.qualimap	37.86041762729728	103	100.0	100.0	100.0	100.0	100.0	1196														
KV.sort									1325.2824	0.38	99.29286792119143	0.34809199999999996	0.35057099999999997									
KV_S3.R1																	82.507313864317	38.0	105.72775113819309	102	18.181818181818183	0.17330099999999998
KV_S3.R2																	75.0330350084535	38.0	109.71082105700486	107	27.27272727272727	0.17330099999999998
LV														0.5847169999999999	0.5800649999999999	99.2						
LV.qualimap	37.95897351777937	103	100.0	100.0	100.0	100.0	100.0	2174														
LV.sort									2396.7642	0.51	99.20440144548559	0.5800649999999999	0.5847169999999999									
LV_S2.R1																	89.44425255595468	38.0	108.01118748273004	107	18.181818181818183	0.28952
LV_S2.R2																	77.82053053329649	38.0	113.60464907432993	112	18.181818181818183	0.28952
MC														0.43565099999999995	0.43161299999999997	99.07						
MC.qualimap	38.21869092303898	102	100.0	100.0	100.0	100.0	99.98660953401178	1425														
MC.sort									1594.0688	0.43	99.07311127485075	0.43161299999999997	0.43565099999999995									
MC_S16.R1																	80.56874890055458	38.0	106.1572322676814	102	18.181818181818183	0.216018
MC_S16.R2																	73.61377292633021	38.0	109.33957355405568	107	27.27272727272727	0.216018
ML														0.564712	0.560703	99.29						
ML.qualimap	38.117613934980106	102	100.0	100.0	100.0	100.0	100.0	2074														
ML.sort									2326.8874	0.32	99.29008060746008	0.560703	0.564712									
ML_S10.R1																	90.34029361459521	38.0	107.71340507411631	107	18.181818181818183	0.28064
ML_S10.R2																	82.95431870011402	38.0	110.02002921892816	107	27.27272727272727	0.28064
NS														0.580346	0.573731	98.86						
NS.qualimap	37.943922175933004	102	100.0	100.0	100.0	100.0	100.0	1818														
NS.sort									2001.9579	0.38999999999999996	98.86016273050903	0.573731	0.580346									
NS_S5.R1																	76.53721457692683	38.0	103.97814017560215	102	27.27272727272727	0.287468
